member_id,member_name,member_address,reg_date
C101,Alice Johnson,123 Main St,15/05/21
C102,Bob Smith,456 Elm St,20/06/21
C103,Carol Davis,789 Oak St,10/07/21
C104,Dave Wilson,567 Pine St,05/08/21
C105,Eve Brown,890 Maple St,25/09/21
C106,Frank Thomas,234 Cedar St,15/10/21
C107,Grace Taylor,345 Walnut St,20/11/21
C108,Henry Anderson,456 Birch St,10/12/21
C109,Ivy Martinez,567 Oak St,05/01/22
C110,Jack Wilson,678 Pine St,25/02/22
C118,Sam,133 Pine St,01/06/24
C119,John,143 Main St,01/05/24
